--------- beginning of main
--------- beginning of system
--------- beginning of kernel
04-01 10:57:28.315  2884  2884 W System.err: java.io.FileNotFoundException: /jacoco.exec: open failed: EROFS (Read-only file system)
04-01 10:57:28.315  2884  2884 W System.err: 	at libcore.io.IoBridge.open(IoBridge.java:492)
04-01 10:57:28.315  2884  2884 W System.err: 	at java.io.FileOutputStream.<init>(FileOutputStream.java:236)
04-01 10:57:28.315  2884  2884 W System.err: 	at org.jacoco.agent.rt.internal_8ff85ea.output.FileOutput.openFile(FileOutput.java:67)
04-01 10:57:28.315  2884  2884 W System.err: 	at org.jacoco.agent.rt.internal_8ff85ea.output.FileOutput.startup(FileOutput.java:49)
04-01 10:57:28.315  2884  2884 W System.err: 	at org.jacoco.agent.rt.internal_8ff85ea.Agent.startup(Agent.java:122)
04-01 10:57:28.315  2884  2884 W System.err: 	at org.jacoco.agent.rt.internal_8ff85ea.Agent.getInstance(Agent.java:50)
04-01 10:57:28.315  2884  2884 W System.err: 	at org.jacoco.agent.rt.internal_8ff85ea.Offline.<clinit>(Offline.java:31)
04-01 10:57:28.315  2884  2884 W System.err: 	at org.jacoco.agent.rt.internal_8ff85ea.Offline.getProbes(Offline.java:51)
04-01 10:57:28.315  2884  2884 W System.err: 	at org.mozilla.focus.FocusApplication.$jacocoInit(Unknown Source:13)
04-01 10:57:28.315  2884  2884 W System.err: 	at org.mozilla.focus.FocusApplication.<init>(Unknown Source:0)
04-01 10:57:28.315  2884  2884 W System.err: 	at java.lang.Class.newInstance(Native Method)
04-01 10:57:28.315  2884  2884 W System.err: 	at android.app.AppComponentFactory.instantiateApplication(AppComponentFactory.java:76)
04-01 10:57:28.315  2884  2884 W System.err: 	at androidx.core.app.CoreComponentFactory.instantiateApplication(CoreComponentFactory.java:52)
04-01 10:57:28.315  2884  2884 W System.err: 	at android.app.Instrumentation.newApplication(Instrumentation.java:1158)
04-01 10:57:28.315  2884  2884 W System.err: 	at android.app.LoadedApk.makeApplication(LoadedApk.java:1236)
04-01 10:57:28.315  2884  2884 W System.err: 	at android.app.ActivityThread.handleBindApplication(ActivityThread.java:6683)
04-01 10:57:28.315  2884  2884 W System.err: 	at android.app.ActivityThread.access$1300(ActivityThread.java:237)
04-01 10:57:28.315  2884  2884 W System.err: 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1913)
04-01 10:57:28.316  2884  2884 W System.err: 	at android.os.Handler.dispatchMessage(Handler.java:106)
04-01 10:57:28.316  2884  2884 W System.err: 	at android.os.Looper.loop(Looper.java:223)
04-01 10:57:28.316  2884  2884 W System.err: 	at android.app.ActivityThread.main(ActivityThread.java:7656)
04-01 10:57:28.316  2884  2884 W System.err: 	at java.lang.reflect.Method.invoke(Native Method)
04-01 10:57:28.316  2884  2884 W System.err: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:592)
04-01 10:57:28.316  2884  2884 W System.err: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:947)
04-01 10:57:28.316  2884  2884 W System.err: Caused by: android.system.ErrnoException: open failed: EROFS (Read-only file system)
04-01 10:57:28.316  2884  2884 W System.err: 	at libcore.io.Linux.open(Native Method)
04-01 10:57:28.316  2884  2884 W System.err: 	at libcore.io.ForwardingOs.open(ForwardingOs.java:166)
04-01 10:57:28.316  2884  2884 W System.err: 	at libcore.io.BlockGuardOs.open(BlockGuardOs.java:254)
04-01 10:57:28.316  2884  2884 W System.err: 	at libcore.io.ForwardingOs.open(ForwardingOs.java:166)
04-01 10:57:28.316  2884  2884 W System.err: 	at android.app.ActivityThread$AndroidOs.open(ActivityThread.java:7542)
04-01 10:57:28.316  2884  2884 W System.err: 	at libcore.io.IoBridge.open(IoBridge.java:478)
04-01 10:57:28.316  2884  2884 W System.err: 	... 23 more
04-01 10:57:28.477  2884  2884 W System.err: org.json.JSONException: End of input at character 0 of 
04-01 10:57:28.477  2884  2884 W System.err: 	at org.json.JSONTokener.syntaxError(JSONTokener.java:460)
04-01 10:57:28.477  2884  2884 W System.err: 	at org.json.JSONTokener.nextValue(JSONTokener.java:101)
04-01 10:57:28.477  2884  2884 W System.err: 	at org.json.JSONObject.<init>(JSONObject.java:165)
04-01 10:57:28.477  2884  2884 W System.err: 	at org.json.JSONObject.<init>(JSONObject.java:182)
04-01 10:57:28.477  2884  2884 W System.err: 	at org.mozilla.focus.utils.AppConfigWrapper.convertToInAppUpdateConfig(AppConfigWrapper.java:202)
04-01 10:57:28.477  2884  2884 W System.err: 	at org.mozilla.focus.utils.AppConfigWrapper.getInAppUpdateConfig(AppConfigWrapper.java:182)
04-01 10:57:28.477  2884  2884 W System.err: 	at org.mozilla.rocket.appupdate.InAppUpdateController$1.getInAppUpdateConfig(InAppUpdateController.kt:47)
04-01 10:57:28.477  2884  2884 W System.err: 	at org.mozilla.rocket.appupdate.InAppUpdateManager.<init>(InAppUpdateManager.kt:43)
04-01 10:57:28.477  2884  2884 W System.err: 	at org.mozilla.rocket.appupdate.InAppUpdateController.<init>(InAppUpdateController.kt:53)
04-01 10:57:28.477  2884  2884 W System.err: 	at org.mozilla.rocket.appupdate.InAppUpdateController.<init>(InAppUpdateController.kt:33)
04-01 10:57:28.477  2884  2884 W System.err: 	at org.mozilla.focus.activity.MainActivity.onCreate(MainActivity.kt:172)
04-01 10:57:28.477  2884  2884 W System.err: 	at android.app.Activity.performCreate(Activity.java:7994)
04-01 10:57:28.477  2884  2884 W System.err: 	at android.app.Activity.performCreate(Activity.java:7978)
04-01 10:57:28.477  2884  2884 W System.err: 	at android.app.Instrumentation.callActivityOnCreate(Instrumentation.java:1309)
04-01 10:57:28.477  2884  2884 W System.err: 	at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:3422)
04-01 10:57:28.477  2884  2884 W System.err: 	at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:3601)
04-01 10:57:28.477  2884  2884 W System.err: 	at android.app.servertransaction.LaunchActivityItem.execute(LaunchActivityItem.java:85)
